frame,sample_id,timestamp_s,gt_state,ego_speed_kph,tcp_speed_0_0p6_kph,tcp_speed_0p6_1p0_kph,tcp_speed_1p0_1p6_kph,tcp_speed_1p6_2p0_kph,filtered_mpc_entry_speed_kph,ade_m,fde_2s_m,gt_accel,pred_accel,gt_steer,pred_steer
21,21,12.589472037,STOP,1.5444746486537043e-05,0.04830697,0.07744802,0.013934374,0.004010856,1.2520790081336626,0.006586960516870022,0.007653325330466032,-1.0,-0.99294496,-0.0,0.00091409683
22,22,13.089472037,STOP,2.846080235485715e-06,0.05406706,0.08612386,0.00819333,0.005103398,0.832774826540246,0.006063926033675671,0.00672475341707468,-1.0,-0.9919204,-0.0,0.0004760027
23,23,13.589472037,STOP,3.2928528383990855e-07,0.05666492,0.09314106,0.008882502,0.00447322,0.5611363607644054,0.00549044506624341,0.005864610895514488,-1.0,-0.992486,-0.0,0.00093460083
24,24,14.089472037,STOP,9.868973324955733e-06,0.056126304,0.09327922,0.013696546,0.004010856,0.38438284179934445,0.005048071034252644,0.00453666178509593,-1.0,-0.993171,-0.0,0.00091159344
25,25,14.589472037,STOP,4.250091478752438e-06,0.059220184,0.09770394,0.009948963,0.0026236689,0.27057591170459566,0.004887362942099571,0.004221830517053604,-1.0,-0.9921564,-0.0,0.00047194958
26,26,15.089472037,STOP,3.344823528550478e-06,0.064673625,0.10492384,0.012825554,0.0036976992,0.19851011133445529,0.004427231848239899,0.002814929699525237,-1.0,-0.9925896,-0.0,0.00092852116
27,27,15.589472037,STOP,9.408235291630262e-06,0.05871871,0.09980541,0.016299728,0.0067570945,0.1495831215263863,0.003885122714564204,0.0019775936380028725,-1.0,-0.99307173,-0.0,0.0009174347
28,28,16.089472037,STOP,3.5082344197689964e-06,0.056158554,0.08962334,0.0116674965,0.0049228226,0.1168845226948906,0.003409208729863167,0.0016611500177532434,-1.0,-0.99310946,-0.0,0.00091409683
29,29,16.589472037,STOP,7.905239215233451e-07,0.05382966,0.08444624,0.012125467,0.010880245,0.0948153201930763,0.00320630194619298,0.0014583616284653544,-1.0,-0.9930761,-0.0,0.0009174347
30,30,17.089472037,STOP,5.688914120582922e-06,0.05276782,0.08371234,0.0101623535,0.0031704886,0.08009869587674509,0.0029699942097067833,0.001076774555258453,-1.0,-0.99336773,-0.0,0.0009057522
31,31,17.589472037,STOP,3.848843368814415e-06,0.058209468,0.08985753,0.008859825,0.0032642756,0.07243746600762607,0.0030278393533080816,0.0009127103840000927,-1.0,-0.9925188,-0.0,0.00046920776
32,32,18.089472037,STOP,1.7024472583671014e-06,0.061784796,0.10174069,0.011136741,0.005103398,0.06870903243313373,0.003248387947678566,0.0005275530857034028,-1.0,-0.993462,-0.0,0.0009008646
33,33,18.589472037,STOP,2.2657697797967558e-06,0.055367302,0.08988975,0.013418332,0.0065989457,0.06403942670348874,0.002938676392659545,0.00039456685772165656,-1.0,-0.9925704,-0.0,0.00046658516
34,34,19.089472037,STOP,3.597132959498595e-07,0.05389315,0.09409089,0.0151073085,0.008862783,0.06048822973271543,0.003059899667277932,0.0005187116330489516,-1.0,-0.99272275,-0.0,0.0009242296
35,35,19.589472037,STOP,2.7167062967237144e-06,0.058207158,0.0968813,0.01336952,0.005962361,0.0596898556690933,0.003041400806978345,0.00015969786909408867,-1.0,-0.9916276,-0.0,0.00048053265
36,36,20.089472037,STOP,1.6474413257583365e-06,0.05509535,0.09242259,0.013280196,0.008690882,0.05808177842318904,0.0029200466815382242,0.00024202704662457108,-1.0,-0.9931678,-0.0,0.0004556179
37,37,20.589472037,STOP,7.451716760442651e-06,0.061053313,0.09980132,0.011900798,0.003217724,0.05912181563529303,0.003170326817780733,0.0004952194867655635,-1.0,-0.9922365,-0.0,0.00094246864
38,38,21.089472037,STOP,1.9914493350370323e-06,0.049284033,0.07828063,0.0118131405,0.007947311,0.055678592401538336,0.0025938753969967365,0.0002164889156119898,-1.0,-0.99253905,-0.0,0.00092852116
39,39,21.589472037,STOP,4.4328349758870905e-06,0.054145142,0.08501895,0.013016273,0.0100588305,0.05514188517437987,0.002815061016008258,8.37813931866549e-05,-1.0,-0.99273485,-0.0,0.00046408176
40,40,22.089472037,STOP,2.7882945232704515e-06,0.04385414,0.07567908,0.012766601,0.007793956,0.0511911746653348,0.0024504191242158413,0.00022782085579819977,-1.0,-0.9920159,-0.0,0.00047373772
