frame,sample_id,timestamp_s,gt_state,ego_speed_kph,tcp_speed_0_0p6_kph,tcp_speed_0p6_1p0_kph,tcp_speed_1p0_1p6_kph,tcp_speed_1p6_2p0_kph,filtered_mpc_entry_speed_kph,ade_m,fde_2s_m,gt_accel,pred_accel,gt_steer,pred_steer
11,11,7.580551679,DRIVE,28.728624057769775,28.999563,29.415312,28.621592,28.035738,26.755638193097937,0.21259182691574097,0.29577773809432983,0.25233567,0.1865691,-0.013499173,-0.015809894
12,12,8.080551679,DRIVE,29.64728364944458,29.928205,28.75706,27.127337,25.856943,27.866037147596174,0.19782507419586182,0.32116061449050903,0.14817224,0.08785868,-0.043615874,-0.0629943
13,13,8.580551679,DRIVE,29.945109272003176,29.521513,26.912516,25.431845,24.49422,28.445453824282243,0.20280416309833527,0.29278379678726196,0.051928252,-0.007455468,-0.1300396,-0.13929898
14,14,9.080551679,DRIVE,29.28734579086304,28.033674,25.126198,22.94397,22.337032,28.301331036579967,0.16797688603401184,0.2097814828157425,0.0,-0.08299941,-0.25594538,-0.25404233
15,15,9.580551679,DRIVE,27.68099699020386,25.909664,23.816978,21.6072,21.29761,27.464248028238647,0.13307929039001465,0.21029427647590637,0.0,-0.11926681,-0.4262441,-0.31484002
16,16,10.080551679,DRIVE,25.34804162979126,23.392353,22.06321,20.71668,20.742931,26.039085189149795,0.13982538878917694,0.17485933005809784,-0.02994751,-0.08125836,-0.4630611,-0.48755527
17,17,10.580551679,DRIVE,22.793346977233888,21.187141,21.010338,20.736797,21.401033,24.34090520319334,0.29222261905670166,0.47450175881385803,0.0,-0.024658144,-0.56645447,-0.5575931
18,18,11.080551679,DRIVE,21.763010501861572,20.259245,20.654066,21.982325,23.319496,22.912324370692613,0.32785192131996155,0.44656670093536377,0.04466228,0.037730575,-0.34876537,-0.41783422
19,19,11.580551679,DRIVE,20.902607202529907,20.112001,22.042377,24.332947,25.859907,21.932211337623784,0.12165085971355438,0.15814709663391113,0.0,0.09482086,-0.31095365,-0.24134064
20,20,12.080551679,DRIVE,20.88914680480957,21.790293,24.318607,26.512693,27.676886,21.882540095438127,0.19400224089622498,0.25880664587020874,0.29372367,0.31639493,-0.13725153,-0.06386781
21,21,12.580551679,DRIVE,23.17120113372803,24.015528,26.203886,27.558064,27.932356,22.629085832618888,0.09691464900970459,0.1773328334093094,0.47384605,0.28392553,-0.022825511,-0.0033181906
22,22,13.080551679,DRIVE,25.20091323852539,26.08859,27.387125,28.218748,28.125826,23.83991277591297,0.1202935129404068,0.19419562816619873,0.41155094,0.24888194,0.026938712,0.00867784
23,23,13.580551679,DRIVE,26.867409610748293,27.049778,27.950464,28.289354,27.843872,24.96336573247454,0.208484947681427,0.29551073908805847,0.33551496,0.2802595,0.01676942,0.013106465
24,24,14.080551679,DRIVE,27.990059566497802,28.364937,29.257704,29.160206,28.765316,26.153916016666315,0.1314321607351303,0.26285243034362793,0.20570326,0.15530312,0.0028050318,0.0026876926
25,25,14.580551679,DRIVE,28.54413356781006,28.415558,28.69763,28.318516,27.284824,26.945491129598363,0.05576358735561371,0.09708213061094284,0.107732415,0.10311961,-0.0045731966,-0.015090048
26,26,15.080551679,DRIVE,28.54142990112305,27.893959,27.960413,28.109003,27.301628,27.277454966889696,0.16860760748386383,0.31508684158325195,0.032489236,0.10710144,-0.005102455,-0.02318585
27,27,15.580551679,DRIVE,28.405085277557372,27.753183,28.026701,28.57589,28.134981,27.44395983942496,0.11915981769561768,0.17919564247131348,0.0377109,0.049486518,-8.726336e-05,-0.013191342
28,28,16.080551679,DRIVE,28.335212230682373,27.94114,28.210522,28.564837,27.877596,27.617973023586426,0.16863155364990234,0.28656667470932007,0.04221328,0.09320068,0.0018931268,-0.01904416
29,29,16.580551679,DRIVE,28.34673500061035,28.155897,28.31359,28.83652,28.274868,27.806246531264406,0.1706400215625763,0.271555095911026,0.043152727,0.10223603,-0.0016936825,-0.01636982
30,30,17.080551679,DRIVE,28.482312297821046,28.25485,28.800266,29.395132,29.461912,27.96325828151571,0.06544657051563263,0.04531928524374962,0.040649,0.058131814,-0.009889744,-0.0037062764
31,31,17.580551679,DRIVE,28.646285820007325,28.41526,29.040333,30.142881,30.516592,28.121459059971905,0.11535714566707611,0.19619901478290558,0.03641606,0.08894515,0.0035585582,0.012942433
32,32,18.080551679,DRIVE,28.87290201187134,28.900576,30.131212,30.943304,31.438204,28.39415012924663,0.11862563341856003,0.1899522840976715,0.030956674,0.08395207,0.0106084375,0.000833869
33,33,18.580551679,DRIVE,29.41017723083496,29.609314,30.697775,31.322086,31.790134,28.81945773873443,0.18024587631225586,0.34267109632492065,0.22825478,0.0756706,0.003007314,-0.00047004223
34,34,19.080551679,DRIVE,30.750626850128175,31.114733,32.249207,32.82415,33.618023,29.622804257014543,0.14387083053588867,0.18792574107646942,0.25735328,0.1382109,-0.002946482,-0.015422881
35,35,19.580551679,DRIVE,31.81742935180664,31.957237,32.94958,32.821785,33.05804,30.439855802337775,0.14941364526748657,0.29574885964393616,0.22420213,0.15357447,-0.004967783,-0.010243773
36,36,20.080551679,DRIVE,32.582090663909916,32.797012,33.443264,32.966084,32.507423,31.264860319676295,0.2454145848751068,0.5243530869483948,0.20014279,0.12748826,-0.00530167,-0.00891614
37,37,20.580551679,DRIVE,33.2337721824646,33.829082,34.35927,34.31681,34.455032,32.162338746516404,0.0815127044916153,0.16672158241271973,0.18124567,0.13383317,0.0019337442,-0.016281962
38,38,21.080551679,DRIVE,33.746119594573976,34.106644,34.63477,35.812576,36.281372,32.84284547210089,0.09882275760173798,0.21974501013755798,0.16700885,0.14372098,0.0045187552,-0.020082653
39,39,21.580551679,DRIVE,34.27286596298218,34.624825,34.571598,35.541195,36.008785,33.4665380067252,0.08189524710178375,0.1261279284954071,0.15364875,0.091919065,0.0017759742,-0.016750216
40,40,22.080551679,DRIVE,34.866907882690434,35.166023,35.59495,36.38237,36.706577,34.06135824395268,0.05131608992815018,0.10896562039852142,0.138341,0.09170127,-0.001270088,-0.027466357
41,41,22.580551679,DRIVE,35.44083709716797,35.97277,35.524166,36.56717,36.703247,34.73035273390494,0.05711380019783974,0.12176819890737534,0.12297424,0.08818388,-0.005518771,-0.007133186
42,42,23.080551679,DRIVE,35.898717212677006,36.084183,36.252293,37.642147,38.537766,35.20419323577844,0.053163688629865646,0.0992240160703659,0.11005637,0.1506629,-0.003530324,-0.004408598
43,43,23.580551679,DRIVE,36.31658563613892,36.591484,37.371914,38.632854,39.40585,35.6897459622953,0.07947124540805817,0.19482490420341492,0.0988163,0.1597569,0.0047336183,-0.0018337369
44,44,24.080551679,DRIVE,36.731026840209964,37.312553,38.546413,40.05774,40.82673,36.25772870102295,0.2154678851366043,0.3039284348487854,0.19207877,0.29500186,0.012804845,0.031344533
45,45,24.580551679,DRIVE,38.071260166168216,38.861298,40.07957,41.4081,42.348976,37.168978619349,0.12647464871406555,0.1727134883403778,0.32527936,0.36223018,0.032650348,0.07636988
46,46,25.080551679,DRIVE,39.397452449798585,39.54857,40.6626,41.844357,42.536457,38.001835690589544,0.15577943623065948,0.21549265086650848,0.289241,0.1765405,0.04789173,0.025823593
47,47,25.580551679,DRIVE,40.43223066329956,40.77076,42.15249,43.08367,43.67222,38.97095972033706,0.1368204951286316,0.28731489181518555,0.2581967,0.2525785,0.07249478,0.04133153
48,48,26.080551679,DRIVE,41.36925973892212,41.955013,42.92919,43.751602,43.917233,40.01537926560678,0.19116169214248657,0.26195454597473145,0.23267132,0.3208238,0.040846214,0.02573824
49,49,26.580551679,DRIVE,42.23002996444702,42.985878,43.736153,44.33824,44.531914,41.05505448696936,0.15316814184188843,0.15082252025604248,0.20858493,0.27749276,0.004873104,0.01385808
